Model	Color	Retail_Price	Release_Date	Number_of_Sales	Price_Premium	Avg_Sale_Price
adidas Yeezy Boost 350 V2 Beluga 2.0	Grey/Bold Orange/Dark Grey 	$220 	11/25/17	37501	100.00%	$399 
adidas Yeezy Boost 350 V2 Butter	Butter/Butter/Butter 	$220 	6/30/18	35599	16.80%	$277 
adidas Yeezy 500 Blush	Blush/Blush/Blush 	$200 	2/16/18	34960	65.00%	$292 
adidas Yeezy Boost 350 V2 Blue Tint	Blue Tint/Grey Three/High Risk Red 	$220 	12/16/17	32575	69.50%	$380 
adidas Yeezy Wave Runner 700 Solid Grey	Solid Grey/Chalk White/Core Black 	$300 	11/1/17	29730	12.30%	$471 
adidas Yeezy 500 Utility Black	Utility Black/Utility Black/Utility Black 	$200 	7/7/18	18032	59.50%	$273 
adidas Yeezy Boost 350 V2 Cream/Triple White	Cream White/Cream White 	$220 	4/29/17	16920	9.10%	$368 
adidas Yeezy 500 Super Moon Yellow	Super Moon Yellow/Super Moon Yellow/Super Moon Yellow 	$200 	6/9/18	10315	19.00%	$253 
adidas Yeezy Boost 350 V2 Zebra	White/Core Black/Red 	$220 	2/25/17	9949	68.20%	$530 
adidas Yeezy Powerphase Calabasas Core Black	Core Black/Core Black/Core Black 	$120 	3/17/18	8023	-5.80%	$122 
adidas Yeezy Powerphase Calabasas Grey	Grey/Grey/Grey 	$120 	12/9/17	7952	33.30%	$159 
adidas Yeezy Boost 350 V2 Semi Frozen Yellow	Semi Frozen Yellow/Raw Steel/Red 	$220 	11/18/17	5947	80.50%	$637 
adidas Ultra Boost 4.0 Triple Black	Black/Black/Black 	$200 	11/30/17	4069	-10.00%	$220 
adidas NMD XR1 OG Black	Core Black/Core Black/Footwear White 	$150 	5/20/17	3922	-0.70%	$151 
adidas Human Race NMD Pharrell Holi Festival (Core Black)	Core Black/Deepest Purple/Core Black 	$250 	3/16/18	3778	59.60%	$412 
adidas Ultra Boost 4.0 Running White	Running White/Running White/Running White 	$180 	11/30/17	3760	-32.80%	$145 
adidas Human Race NMD Pharrell Holi Festival (Chalk Coral)	Chalk Coral/Flash Green-Lab Purple 	$250 	3/16/18	3688	-6.00%	$360 
adidas Yeezy Powerphase Calabasas Core White	Core White/Core White/Core White 	$120 	3/28/17	3535	91.70%	$268 
adidas Human Race NMD Pharrell Holi Festival (Pink Glow)	Pink Glow/Flash Green/Lab Purple 	$250 	3/16/18	3347	--	$346 
adidas NMD R1 Japan Triple White	Footwear White/Footwear White/Footwear White 	$180 	8/11/17	2981	-27.80%	$171 
adidas Yeezy Boost 350 V2 Black Red	Core Black/Core Black/Red 	$220 	2/11/17	2876	345.50%	$842 
adidas Ultra Boost 4.0 Cookies and Cream	Footwear White/Footwear White/Grey Two 	$200 	2/6/18	2845	20.00%	$232 
adidas Ultra Boost 4.0 Core Black	Core Black/Core Black/Core Black 	$180 	11/30/17	2716	-27.80%	$147 
adidas NMD R1 Japan Triple Black	Core Black/Core Black/Core Black 	$180 	8/11/17	2624	41.70%	$248 
adidas Human Race NMD Pharrell Oreo	Core Black/Footwear White/Footwear White 	$240 	11/11/17	2623	50.00%	$515 
adidas Human Race NMD Pharrell Blank Canvas	Cream White/Running White/Running White 	$250 	2/23/18	2596	60.00%	$445 
adidas Human Race NMD Pharrell Multi-Color	Noble Ink/Bold Yellow/Footwear White 	$240 	11/11/17	2502	18.80%	$404 
adidas Human Race NMD Pharrell Pale Nude	Pale Nude/Core Black/Yellow 	$240 	11/11/17	2499	43.80%	$440 
adidas Dame 4 A Bathing Ape Camo	Black/Green/Gum 	$150 	2/16/18	2047	96.70%	$323 
adidas NMD Hu Pharrell Solar Pack Red	White/Black/Red 	$250 	8/18/18	1995	18.00%	$300 
adidas Ultra Boost 5th Anniversary Black	Black/Iron 	$220 	2/1/18	1763	-39.10%	$164 
adidas Ultra Boost 3.0 Triple White	White/White/White 	$180 	12/6/16	1760	5.00%	$162 
adidas NMD R1 Neighborhood Core Black	Core Black/Footwear White/Core Black 	$200 	2/24/18	1747	75.00%	$299 
adidas Ultra Boost 1.0 UNDFTD Black	Core Black/Core Black/Footwear White 	NaN 	4/14/18	1442	NaN	$289 
adidas Human Race NMD Pharrell Sun Glow	Sun Glow/Core Black/Equipment Yellow 	$240 	11/11/17	1663	2.10%	$422 
